time,latitude,longitude,krill_young_larvae,krill_free_larvae,krill_late_larvae,krill_juveniles,krill_adults,krill_adult_log
2010-12-29 12:00:00,-77,-133,,,,,,
2010-12-29 12:00:00,-77,-131,,,,,,
2010-12-29 12:00:00,-77,-129,,,,,,
2010-12-29 12:00:00,-77,-127,,,,,,
2010-12-29 12:00:00,-77,-125,,,,,,
2010-12-29 12:00:00,-77,-123,,,,,,
2010-12-29 12:00:00,-77,-121,,,,,,
2010-12-29 12:00:00,-77,-119,,,,,,
2010-12-29 12:00:00,-77,-117,,,,,,
2010-12-29 12:00:00,-77,-115,,,,,,
2010-12-29 12:00:00,-77,-113,,,,,,
2010-12-29 12:00:00,-77,-111,,,,,,
2010-12-29 12:00:00,-77,-109,,,,,,
2010-12-29 12:00:00,-77,-107,,,,,,
2010-12-29 12:00:00,-77,-105,,,,,,
2010-12-29 12:00:00,-77,-103,,,,,,
2010-12-29 12:00:00,-77,-101,,,,,,
2010-12-29 12:00:00,-77,-99,,,,,,
2010-12-29 12:00:00,-77,-97,,,,,,
2010-12-29 12:00:00,-77,-95,,,,,,
2010-12-29 12:00:00,-77,-93,,,,,,
2010-12-29 12:00:00,-77,-91,,,,,,
2010-12-29 12:00:00,-77,-89,,,,,,
2010-12-29 12:00:00,-77,-87,,,,,,
2010-12-29 12:00:00,-77,-85,,,,,,
2010-12-29 12:00:00,-77,-83,,,,,,
2010-12-29 12:00:00,-77,-81,,,,,,
2010-12-29 12:00:00,-77,-79,,,,,,
2010-12-29 12:00:00,-77,-77,,,,,,
2010-12-29 12:00:00,-77,-75,,,,,,
2010-12-29 12:00:00,-77,-73,,,,,,
2010-12-29 12:00:00,-77,-71,,,,,,
2010-12-29 12:00:00,-77,-69,,,,,,
2010-12-29 12:00:00,-77,-67,,,,,,
2010-12-29 12:00:00,-77,-65,,,,,,
2010-12-29 12:00:00,-77,-63,,,,,,
2010-12-29 12:00:00,-77,-61,,,,,,
2010-12-29 12:00:00,-77,-59,,,,,,
2010-12-29 12:00:00,-77,-57,,,,,,
2010-12-29 12:00:00,-77,-55,,,,,,
2010-12-29 12:00:00,-77,-53,9.966104889288545,18.423953894525766,0.0,376.77448362112045,798.8787829875946,2.90302
2010-12-29 12:00:00,-77,-51,6.978860020637512,13.439056977629662,0.0,156.41072550415993,389.3431183695793,2.59145
2010-12-29 12:00:00,-77,-49,6.104611583054066,10.764262311160564,0.0,90.65166398882866,248.33666002750397,2.39679
2010-12-29 12:00:00,-77,-47,6.540146870538592,11.32902456074953,0.0,93.22888201475143,232.73630595207214,2.36873
2010-12-29 12:00:00,-77,-45,6.5093790628015995,10.634767722338438,0.0,115.75993785262108,234.33571964502335,2.37169
2010-12-29 12:00:00,-77,-43,2.9776354506611824,5.4534129947423935,0.0,118.68983417749405,205.11947256326675,2.31412
2010-12-29 12:00:00,-77,-41,2.1609540367498994,3.7577077820897102,0.0,114.8111959695816,172.95204120874405,2.24043
2010-12-29 12:00:00,-77,-39,3.524257299490273,6.0539236683398485,0.0,152.95382997393608,221.09296417236328,2.34653
2010-12-29 12:00:00,-77,-37,6.319062478840351,12.163064578548074,0.0,89.50826859474182,132.3258736729622,2.12491
2010-12-29 12:00:00,-77,-35,8.157860357314348,16.451333183795214,0.0,139.12874293327332,207.23970353603363,2.31856
2010-12-29 12:00:00,-77,-33,8.585084039717913,17.728495430201292,0.0,110.4546534717083,167.0638256072998,2.22547
2010-12-29 12:00:00,-77,-31,7.905382409691811,13.07926469296217,0.0,179.95113506913185,253.39143216609955,2.4055
2010-12-29 12:00:00,-77,-29,8.032349007204175,8.778144523501396,0.0,125.26018810272217,168.02871844172478,2.22796
2010-12-29 12:00:00,-77,-27,,,,,,
2010-12-29 12:00:00,-77,-25,,,,,,
2010-12-29 12:00:00,-77,-23,,,,,,
2010-12-29 12:00:00,-77,-21,,,,,,
2010-12-29 12:00:00,-77,-19,,,,,,
2010-12-29 12:00:00,-77,-17,,,,,,
2010-12-29 12:00:00,-77,-15,,,,,,
2010-12-29 12:00:00,-77,-13,,,,,,
2010-12-29 12:00:00,-77,-11,,,,,,
2010-12-29 12:00:00,-77,-9,,,,,,
2010-12-29 12:00:00,-77,-7,,,,,,
2010-12-29 12:00:00,-77,-5,,,,,,
2010-12-29 12:00:00,-77,-3,,,,,,
2010-12-29 12:00:00,-77,-1,,,,,,
2010-12-29 12:00:00,-77,1,,,,,,
2010-12-29 12:00:00,-77,3,,,,,,
2010-12-29 12:00:00,-77,5,,,,,,
2010-12-29 12:00:00,-77,7,,,,,,
2010-12-29 12:00:00,-77,9,,,,,,
2010-12-29 12:00:00,-77,11,,,,,,
2010-12-29 12:00:00,-77,13,,,,,,
2010-12-29 12:00:00,-77,15,,,,,,
2010-12-29 12:00:00,-77,17,,,,,,
2010-12-29 12:00:00,-77,19,,,,,,
2010-12-29 12:00:00,-77,21,,,,,,
2010-12-29 12:00:00,-77,23,,,,,,
2010-12-29 12:00:00,-77,25,,,,,,
2010-12-29 12:00:00,-77,27,,,,,,
2010-12-29 12:00:00,-77,29,,,,,,
2010-12-29 12:00:00,-77,31,,,,,,
2010-12-29 12:00:00,-77,33,,,,,,
2010-12-29 12:00:00,-77,35,,,,,,
2010-12-29 12:00:00,-77,37,,,,,,
