latitude,longitude,krill_greenweight_kg,krill_greenweight_kg_log
-65,93,20510.0,4.311986834619701
-65,95,,
-65,97,,
-65,99,,
-65,101,,
-65,103,74045.0,4.869501602697222
-65,105,2982615.0,6.474597343266179
-65,107,2071690.0,6.3163249793538965
-65,109,807630.0,5.907212980492692
-65,111,179340.0,5.253679587042591
-65,113,64200.0,4.807541792727725
-65,115,70840.0,4.85028468311398
-65,117,1468730.0,6.1669422614721325
-65,119,5165050.0,6.713074614124609
-65,121,372334.0,5.570933862413448
-65,123,712684.0,5.852897618224787
-65,125,34860.0,4.542339840842044
-65,127,49868.0,4.697830659599228
-65,129,517602.0,5.7139967848161115
-65,131,11245962.0,7.0509966503167005
-65,133,6469244.0,6.810853598834604
-65,135,1983702.0,6.2974766501183135
-65,137,164920.0,5.217275959485889
-65,139,206510.0,5.314943189707028
-65,141,22690.0,4.355853635810543
-65,143,17660.0,4.247015290531832
-65,145,4140.0,3.617105230502378
-65,147,19190.0,4.283097605437225
-65,149,7790.0,3.891593204348965
-65,151,,
-65,153,2500.0,3.3981136917305026
-65,155,,
-65,157,,
-65,159,,
-65,161,,
-65,163,,
-65,165,,
-65,167,,
-65,169,,
-65,171,,
-65,173,,
-65,175,,
-65,177,,
-65,179,,
-63,-179,,
-63,-177,,
-63,-175,,
-63,-173,,
-63,-171,,
-63,-169,,
-63,-167,,
-63,-165,,
-63,-163,,
-63,-161,,
-63,-159,,
-63,-157,,
-63,-155,,
-63,-153,,
-63,-151,,
-63,-149,,
-63,-147,,
-63,-145,,
-63,-143,,
-63,-141,,
-63,-139,,
-63,-137,,
-63,-135,,
-63,-133,,
-63,-131,,
-63,-129,,
-63,-127,,
-63,-125,,
-63,-123,,
-63,-121,,
-63,-119,,
-63,-117,,
-63,-115,,
-63,-113,,
-63,-111,,
-63,-109,,
-63,-107,,
-63,-105,,
-63,-103,,
-63,-101,,
-63,-99,,
-63,-97,,
-63,-95,,
-63,-93,,
-63,-91,,
-63,-89,,
-63,-87,,
-63,-85,,
-63,-83,,
-63,-81,,
-63,-79,,
-63,-77,,
-63,-75,,
-63,-73,,
-63,-71,,
-63,-69,,
-63,-67,188031.7949,5.2742336014019715
-63,-65,1704162.6154425743,6.231511288712769
-63,-63,27054375.83801389,7.432237534981639
-63,-61,373465190.9768358,8.572250130550788
-63,-59,235590397.6623792,8.37215758707892
-63,-57,25459574.653277338,7.405851160787554
-63,-55,7377902.582808095,6.867932975405828
-63,-53,650065.422,5.812957733926376
-63,-51,,
-63,-49,103000.0,5.0128414411359845
-63,-47,,
-63,-45,1521666.6599999997,6.182319810654956
-63,-43,,
-63,-41,,
-63,-39,,
-63,-37,,
-63,-35,,
-63,-33,,
-63,-31,,
-63,-29,,
-63,-27,,
-63,-25,,
-63,-23,,
-63,-21,,
-63,-19,,
-63,-17,,
-63,-15,25300.0,4.403137686626381
-63,-13,,
-63,-11,,
-63,-9,,
-63,-7,5000.0,3.699056854547668
-63,-5,,
