LONGITUDE_largegrid,LATITUDE_largegrid,STANDARDISED_KRILL_UNDER_1M2,STANDARDISED_KRILL_UNDER_1M2_log
-129,-69,4.70575,0.7563127389300582
-129,-67,0.0,0.0
-129,-65,,
-129,-63,,
-129,-61,,
-129,-59,,
-129,-57,,
-129,-55,,
-129,-53,,
-129,-51,,
-129,-49,,
-129,-47,,
-127,-77,,
-127,-75,,
-127,-73,,
-127,-71,,
-127,-69,1.665,0.4256972133625911
-127,-67,0.0,0.0
-127,-65,0.0,0.0
-127,-63,,
-127,-61,,
-127,-59,,
-127,-57,,
-127,-55,,
-127,-53,,
-127,-51,,
-127,-49,,
-127,-47,,
-125,-77,,
-125,-75,,
-125,-73,,
-125,-71,,
-125,-69,1.665,0.4256972133625911
-125,-67,0.0,0.0
-125,-65,0.0,0.0
-125,-63,,
-125,-61,,
-125,-59,,
-125,-57,,
-125,-55,,
-125,-53,,
-125,-51,,
-125,-49,,
-125,-47,,
-123,-77,,
-123,-75,,
-123,-73,,
-123,-71,,
-123,-69,1.665,0.4256972133625911
-123,-67,0.0,0.0
-123,-65,0.0,0.0
-123,-63,,
-123,-61,,
-123,-59,,
-123,-57,,
-123,-55,,
-123,-53,,
-123,-51,,
-123,-49,,
-123,-47,,
-121,-77,,
-121,-75,,
-121,-73,0.0,0.0
-121,-71,0.0485,0.020568434801362646
-121,-69,0.103,0.04257551244019059
-121,-67,0.47433333333333333,0.16859568464994135
-121,-65,0.0,0.0
-121,-63,,
-121,-61,,
-121,-59,,
-121,-57,,
-121,-55,,
-121,-53,,
-121,-51,,
-121,-49,,
-121,-47,,
-119,-77,,
-119,-75,,
-119,-73,0.0,0.0
-119,-71,0.0485,0.020568434801362646
-119,-69,0.103,0.04257551244019059
-119,-67,0.47433333333333333,0.16859568464994135
-119,-65,0.0,0.0
-119,-63,,
-119,-61,,
-119,-59,,
-119,-57,,
-119,-55,,
-119,-53,,
-119,-51,,
-119,-49,,
-119,-47,,
-117,-77,,
-117,-75,,
-117,-73,0.0,0.0
-117,-71,0.0485,0.020568434801362646
-117,-69,0.103,0.04257551244019059
-117,-67,0.47433333333333333,0.16859568464994135
-117,-65,0.0,0.0
-117,-63,,
-117,-61,,
-117,-59,,
-117,-57,,
-117,-55,,
-117,-53,,
-117,-51,,
-117,-49,,
-117,-47,,
-115,-77,,
-115,-75,,
-115,-73,,
-115,-71,,
-115,-69,0.845,0.2659963704950792
-115,-67,0.0,0.0
-115,-65,0.04,0.01703333929878037
-115,-63,,
-115,-61,,
-115,-59,,
-115,-57,,
-115,-55,,
-115,-53,,
-115,-51,,
-115,-49,,
-115,-47,,
-113,-77,,
-113,-75,,
-113,-73,,
-113,-71,,
-113,-69,0.845,0.2659963704950792
-113,-67,0.0,0.0
-113,-65,0.04,0.01703333929878037
-113,-63,,
-113,-61,,
-113,-59,,
-113,-57,,
-113,-55,,
-113,-53,,
-113,-51,,
-113,-49,,
-113,-47,,
-111,-77,,
-111,-75,,
-111,-73,,
-111,-71,,
-111,-69,0.845,0.2659963704950792
-111,-67,0.0,0.0
-111,-65,0.04,0.01703333929878037
-111,-63,,
-111,-61,,
-111,-59,,
-111,-57,,
-111,-55,,
-111,-53,,
-111,-51,,
-111,-49,,
-111,-47,,
-109,-77,,
-109,-75,,
-109,-73,,
-109,-71,,
-109,-69,,
-109,-67,0.057,0.024074987307426243
-109,-65,0.0,0.0
-109,-63,0.0,0.0
-109,-61,0.0,0.0
-109,-59,,
-109,-57,,
-109,-55,,
-109,-53,,
-109,-51,,
-109,-49,,
-109,-47,,
-107,-77,,
-107,-75,,
-107,-73,,
-107,-71,,
-107,-69,,
-107,-67,0.057,0.024074987307426243
-107,-65,0.0,0.0
-107,-63,0.0,0.0
-107,-61,0.0,0.0
-107,-59,,
-107,-57,,
-107,-55,,
-107,-53,,
-107,-51,,
-107,-49,,
-107,-47,,
-105,-77,,
-105,-75,,
-105,-73,,
-105,-71,,
-105,-69,,
-105,-67,0.057,0.024074987307426243
-105,-65,0.0,0.0
-105,-63,0.0,0.0
-105,-61,0.0,0.0
-105,-59,,
-105,-57,,
-105,-55,,
-105,-53,,
-105,-51,,
-105,-49,,
-105,-47,,
-103,-77,,
-103,-75,,
-103,-73,,
-103,-71,,
-103,-69,50.60975,1.712731755332625
-103,-67,0.0,0.0
-103,-65,0.0,0.0
-103,-63,0.0,0.0
-103,-61,,
-103,-59,,
-103,-57,,
-103,-55,,
-103,-53,,
-103,-51,,
-103,-49,,
-103,-47,,
-101,-77,,
-101,-75,,
-101,-73,,
-101,-71,,
-101,-69,50.60975,1.712731755332625
-101,-67,0.0,0.0
-101,-65,0.0,0.0
-101,-63,0.0,0.0
-101,-61,,
-101,-59,,
-101,-57,,
-101,-55,,
-101,-53,,
-101,-51,,
-101,-49,,
-101,-47,,
-99,-77,,
-99,-75,,
-99,-73,,
-99,-71,,
-99,-69,50.60975,1.712731755332625
-99,-67,0.0,0.0
-99,-65,0.0,0.0
-99,-63,0.0,0.0
-99,-61,,
-99,-59,,
-99,-57,,
-99,-55,,
-99,-53,,
-99,-51,,
-99,-49,,
-99,-47,,
-97,-77,,
-97,-75,,
-97,-73,,
-97,-71,,
-97,-69,0.26771428571428574,0.10302138436627928
-97,-67,0.09899999999999999,0.04099769242349056
-97,-65,0.0,0.0
-97,-63,0.0,0.0
-97,-61,,
-97,-59,,
-97,-57,,
-97,-55,,
-97,-53,,
-97,-51,,
-97,-49,,
-97,-47,,
-95,-77,,
-95,-75,,
-95,-73,,
-95,-71,,
-95,-69,0.26771428571428574,0.10302138436627928
-95,-67,0.09899999999999999,0.04099769242349056
-95,-65,0.0,0.0
-95,-63,0.0,0.0
-95,-61,,
-95,-59,,
-95,-57,,
-95,-55,,
-95,-53,,
-95,-51,,
-95,-49,,
-95,-47,,
-93,-77,,
-93,-75,,
-93,-73,,
-93,-71,,
-93,-69,0.26771428571428574,0.10302138436627928
-93,-67,0.09899999999999999,0.04099769242349056
-93,-65,0.0,0.0
-93,-63,0.0,0.0
-93,-61,,
-93,-59,,
-93,-57,,
-93,-55,,
-93,-53,,
-93,-51,,
-93,-49,,
-93,-47,,
-91,-77,,
-91,-75,,
-91,-73,,
-91,-71,,
-91,-69,42.416250000000005,1.6376523093385997
-91,-67,2.3716666666666666,0.5278446323871611
-91,-65,0.0,0.0
-91,-63,0.0,0.0
-91,-61,0.0,0.0
-91,-59,,
-91,-57,,
-91,-55,,
-91,-53,,
-91,-51,,
-91,-49,,
-91,-47,,
-89,-77,,
-89,-75,,
-89,-73,,
-89,-71,,
-89,-69,42.416250000000005,1.6376523093385997
-89,-67,2.3716666666666666,0.5278446323871611
-89,-65,0.0,0.0
-89,-63,0.0,0.0
-89,-61,0.0,0.0
-89,-59,,
-89,-57,,
-89,-55,,
-89,-53,,
-89,-51,,
-89,-49,,
-89,-47,,
-87,-77,,
-87,-75,,
-87,-73,,
-87,-71,,
-87,-69,42.416250000000005,1.6376523093385997
-87,-67,2.3716666666666666,0.5278446323871611
-87,-65,0.0,0.0
-87,-63,0.0,0.0
-87,-61,0.0,0.0
-87,-59,,
-87,-57,,
-87,-55,,
-87,-53,,
-87,-51,,
-87,-49,,
-87,-47,,
-85,-77,,
-85,-75,,
-85,-73,,
-85,-71,1.293,0.36040405472993886
-85,-69,,
-85,-67,8.558200000000001,0.9803761136494789
-85,-65,0.04875,0.02067197383675672
-85,-63,,
-85,-61,,
-85,-59,,
-85,-57,,
-85,-55,,
-85,-53,,
-85,-51,,
-85,-49,,
-85,-47,,
-83,-77,,
-83,-75,,
-83,-73,,
-83,-71,1.293,0.36040405472993886
-83,-69,,
-83,-67,8.558200000000001,0.9803761136494789
-83,-65,0.04875,0.02067197383675672
-83,-63,,
-83,-61,,
-83,-59,,
-83,-57,,
-83,-55,,
-83,-53,,
-83,-51,,
-83,-49,,
-83,-47,,
-81,-77,,
-81,-75,,
-81,-73,,
-81,-71,1.293,0.36040405472993886
-81,-69,,
-81,-67,8.558200000000001,0.9803761136494789
-81,-65,0.04875,0.02067197383675672
-81,-63,,
-81,-61,,
-81,-59,,
-81,-57,,
-81,-55,,
-81,-53,,
-81,-51,,
-81,-49,,
-81,-47,,
-79,-77,,
-79,-75,,
-79,-73,,
-79,-71,0.601,0.20439133191929973
-79,-69,70.61185,1.8549848933104618
-79,-67,20.46375,1.331705601228699
-79,-65,0.6347777777777778,0.2134587255320434
-79,-63,0.0,0.0
-79,-61,0.0,0.0
-79,-59,,
-79,-57,,
-79,-55,,
-79,-53,,
-79,-51,,
-79,-49,,
-79,-47,,
-77,-77,,
-77,-75,,
-77,-73,,
-77,-71,0.601,0.20439133191929973
-77,-69,70.61185,1.8549848933104618
-77,-67,20.46375,1.331705601228699
-77,-65,0.6347777777777778,0.2134587255320434
-77,-63,0.0,0.0
-77,-61,0.0,0.0
-77,-59,,
-77,-57,,
-77,-55,,
-77,-53,,
-77,-51,,
-77,-49,,
-77,-47,,
-75,-77,,
-75,-75,,
-75,-73,,
-75,-71,0.601,0.20439133191929973
-75,-69,70.61185,1.8549848933104618
-75,-67,20.46375,1.331705601228699
-75,-65,0.6347777777777778,0.2134587255320434
-75,-63,0.0,0.0
-75,-61,0.0,0.0
-75,-59,,
-75,-57,,
-75,-55,,
-75,-53,,
-75,-51,,
-75,-49,,
-75,-47,,
-73,-77,,
-73,-75,,
-73,-73,,
-73,-71,8.9725,0.9988040449818771
-73,-69,,
-73,-67,51.02422131147541,1.7162055884961538
-73,-65,14.876429429429429,1.2007528372941654
-73,-63,0.23018750000000002,0.08997130982103715
-73,-61,5.634,0.8217754671834635
-73,-59,,
-73,-57,,
-73,-55,,
-73,-53,,
-73,-51,,
-73,-49,,
-73,-47,,
-71,-77,,
-71,-75,,
-71,-73,,
-71,-71,8.9725,0.9988040449818771
-71,-69,,
-71,-67,51.02422131147541,1.7162055884961538
